# Catalog of NOx point sources v2.0
# 
# Contact: steffen.beirle@mpic.de
# 
# Covered time range: Jan 2019 to Dec 2019 
# Used datasets:
# - TROPOMI NO2 measurements: https://data-portal.s5p-pal.com/products/no2.html
# - ERA5 wind fields: https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/era5
# - Global power plant database (GPPD): https://datasets.wri.org/dataset/globalpowerplantdatabase
# - World cities database (WCD): https://simplemaps.com/data/world-cities
# 
# Version 2 of the catalog provides a fundamental update compared to version 1.
# Several improvements have been implemented resulting in generally higher and
# more realistic emissions.
# A detailed description of the dataset is to be submitted to ESSD.
# 
# Data:
# Column 1: Rank of NOx point source
# Column 2: Latitude [degree North] of point source
# Column 3: Longitude [degree East] of point source
# Column 4: NOx emissions [kg/s]
# Column 5: NOx emissions error [kg/s]
# Column 6: Number of months (within the considered time range)
#           where significant emissions could be detected.
# Column 7: Combustion power plants above 100 MW within 15 km
#           as listed in GPPD, separated by semicolon.
#           Spelling exactly as in GPPD.
#           No entry if no match to GPPD was found.
#           Primarily based on GPPD v1.3, 
#           but extended by entries from v1.2 if missing in 1.3
#           (labelled as "v1.2")
# Column 8: Cities with more than 100,000 inhabitants within 15 km
#           as listed in WCD, separated by semicolon.
#           Spelling exactly as in WCD.
#           No entry if no match to WCD was found.
rank,lat,lon,E,err,months_significant,power_plants,cities
20,36.3125,58.8375,1.0876,0.2589,7,Neishabour,Neyshābūr
21,51.8875,75.3875,1.1575,0.1480,8,Ekibastuz-1 power station,
22,-25.9875,29.3625,1.1890,0.2506,8,Duvha power station,
23,30.6375,114.4625,1.3017,0.2982,9,Huaneng Yangluo power station;Qingshan power station;WISCO Qingshan power station;Wuhan Ethylene power station,
24,11.5625,79.4375,1.1360,0.4050,9,NEYVELI ST II;NEYVELI ST I;NEYVELI TPS EXP -II;NEYVELI FST EXT;NEYVELI TPS(Z),
25,18.7625,79.4625,1.2390,0.4136,10,R_GUNDEM STPS;SINGARENI TPP,Rāmgundam
26,22.3125,69.8625,1.1969,0.2372,9,SIKKA REP.;HAZIRA CCCP,
27,21.0625,107.3375,1.5548,0.4198,4,Mong Duong 2;Mong Duong 1;Cam Pha I,Cẩm Phả
28,24.4125,47.0125,1.0859,0.1983,11,Riyadh 10,
29,-26.7875,29.3625,1.4858,0.2625,10,Tutuka power station,
30,35.5125,129.3375,1.3496,0.2692,10,Ulsan;Yeongnam,Ulsan
31,15.1875,76.6625,1.1598,0.3604,8,BELLARY TPS;TORANGALLU EXT;TORANGALLU IMP,
32,21.2625,79.1125,1.1936,0.4036,9,KORADI;K_KHEDA II,Nāgpur
33,20.0375,-99.2625,1.1944,0.8045,12,Francisco Pérez Ríos (Tula);Tula;Pemex-Refinación  Refinería Miguel Hidalgo,
34,14.6375,101.1125,1.0835,0.3167,10,Kaeng Khoi 2,
35,20.0875,105.8875,1.0608,0.2825,7,,
36,21.0875,85.0875,1.0620,0.3791,7,TALCHER STPS;DERANG,
37,24.9375,47.0625,0.9449,0.1608,11,Riyadh 9,
38,22.1375,82.2875,1.0734,0.3315,9,SIPAT STPS,
39,19.9875,79.2875,1.0027,0.3267,9,CHANDRAPUR_Coal;DHARIWAL INF TPP;TADALI,Chānda
40,41.2875,123.7125,1.0493,0.1738,10,,Benxi
41,32.7875,51.4875,1.0952,0.2512,9,Shahid M. Montazeri,Khomeynī Shahr;Shāhīn Shahr
42,36.4625,59.4125,0.8186,0.2275,6,Ferdosi C.C.;Touss,
43,18.2875,99.7625,1.2468,0.4694,6,Mae Mah,
44,22.8125,69.5375,1.1675,0.2680,12,MUNDRA TPP;MUNDRA UMPP,
45,31.9875,120.6375,1.2743,0.2334,10,Jiangsu Nantong power station;Zhangjiagang Shazhou power station;Jiangsu Zhangjiagang Huaxing;Zhangjiagang - Huaxing Gas;Tianshenggan power station;Zhangjiagang Shagang power station,Yangshe
46,39.3875,106.9375,0.9266,0.2435,10,Ordos Power Qipanjing power station;Huaneng Wuhai Haibowan power station;Ordos Resources Qipanjing power station;Shenhua Wuhai Xilaifeng power station,
47,23.4625,87.1375,0.9197,0.2759,9,MEJIA;MEJIA TPS EXT;DURGAPUR STEEL TPS;DURGAPUR,
48,12.7125,101.1625,0.9674,0.3426,9,BLCP Power;Rayong;Gheco One power station;Glow Energy power complex;Glow Energy Phase 5 Power Plant;Glow Energy Phase 2 Power Plant;CUP-1;Glow Demin;CUP-2,
49,53.4375,59.0375,0.9435,0.1374,7,CHP Plant of MMK,Magnitogorsk
50,24.3875,109.3875,1.1059,0.3163,4,Liuzhou City power station,Liuzhou
51,19.3375,105.7875,0.8288,0.3336,9,Nghi Son 1,
52,24.6875,74.6625,0.8572,0.2416,9,,
53,-24.3375,150.6375,1.2268,0.2787,11,Callide C;Callide B,
54,6.9625,79.9375,0.7896,0.3406,4,CEB Kelantitissa;Yugadanavi;Sojitz Kelanitissa;Sapugaskanda,Colombo;Sri Jayewardenepura Kotte
55,39.6125,126.2875,0.9147,0.1497,8,Pukchang power station,
56,52.1125,76.8625,0.7626,0.1007,8,Aksu power station,
57,36.2125,44.0125,0.7286,0.1882,7,,Erbil
58,40.1125,65.3375,0.8058,0.1207,12,Navoi,Navoiy
59,24.7625,87.8875,0.8284,0.2417,9,FARAKKA STPS,
60,30.5625,47.4125,0.7692,0.1133,11,,
61,55.1875,61.4125,0.8853,0.1122,7,Chelyabinsk CHP-1;Chelyabinsk GRES,Chelyabinsk
62,35.1625,119.3625,1.0009,0.2578,12,Rizhao Iron and Steel Cogen power station,
63,13.2375,80.3125,0.7938,0.2424,11,VALLUR ntpc/ntecl;NORTH CHENNAI EXTENSION;NORTH CHENNAI,
64,33.9875,49.5125,0.7276,0.2905,10,Shazand,
65,51.4875,6.7375,0.7905,0.1282,7,KW Voerde;KW Walsum;KW West;Huckingen;Duisburg Hamborn;Duisburg Ruhrort;HKW III/B;Kraftwerk N 230;G-Kraftwerk,Duisburg;Oberhausen;Mülheim;Bottrop;Moers
66,55.9875,92.9125,0.8630,0.1416,5,,Krasnoyarsk
67,11.3125,108.8125,0.7643,0.1653,11,Vinh Tan 2,
68,29.0375,48.1375,0.7331,0.1341,10,Shuiba North;Shuiba SPSS;Shuwaikh,
69,14.3375,80.1375,0.7674,0.2139,10,DAMODARAM SANJEEVAIAH;PAINAMPURAM;SEMBCORP GAYATRI;SIMHAPURI TPP;THAMMINAPATNAM TPP,
70,35.0375,136.8625,0.7450,0.1252,10,Chita;Shin Nagoya;Chita Daini;Nishi Nagoya;Nagoya power station;Nagoya Power Plant 2,Nagoya;Kariya;Tōkai
71,51.0125,6.6375,0.7025,0.1174,7,Niederaussem power station;BoA 2;Neurath power station;Frimmersdorf power station,
72,2.6125,101.7125,0.7029,0.3705,6,Jimah power station;Tuanku Jaafar (PDI);Tyanku Jaafar (PDII),
73,-5.8875,106.0375,0.7509,0.3540,8,PLTU Suralaya;PLTGU Cilegon;Banten Serang power station;PLTGU Krakatau Daya Listrik (KDL);PLTG Krakatau Posco Energy;Merak power station,Cilegon
74,22.7875,86.2125,0.6826,0.2199,7,JOJBERA,Jamshedpur
75,-25.9375,29.7875,0.7143,0.1579,9,Arnot power station,
76,5.2875,-4.0125,0.4493,0.2228,9,Azito OCGT Power Plant Ivory Coast;Vridi CIPREL OCGT Power Plant Cote DIvoire,Abidjan
77,21.4125,79.9625,0.8024,0.2605,9,TIRORA TPP,
78,61.2875,73.4875,0.2089,0.1163,3,Surgutskaya GRES-2,Surgut
79,51.2875,4.3125,0.7025,0.1014,8,INESCO WKK,Antwerp
80,52.5625,39.6375,0.6972,0.1111,6,Lipetsk CHPP-2;NLMK cogeneration plant;UTETS NLMK,Lipetsk
81,32.6875,44.0625,0.7074,0.1321,12,,Karbalā’
82,55.0625,73.2375,0.6472,0.0788,6,Omskaya TPP-4,Omsk
83,25.2375,87.2625,0.7264,0.1940,10,KAHALGAON,
84,27.1625,56.0625,0.6635,0.2073,12,Bandar Abbas,
85,57.0625,-111.6875,0.6839,0.1101,5,Poplar Creek;MacKay River,
86,-23.5125,150.3125,0.6391,0.1578,10,Stanwell,
87,32.6125,14.3375,0.6271,0.1632,12,Al Khums,Al Khums
88,50.0375,73.0375,0.6826,0.1313,8,Karaganda TPS-2 power station,Temirtaū
89,32.4375,44.2875,0.6274,0.1079,12,,Al Ḩillah
90,47.8125,37.9875,0.7201,0.1031,8,Starobeshivska,
91,29.3875,52.5875,0.5840,0.1789,11,Fars;Hormozgan (Khalije Fars),
92,30.4625,48.2625,0.5429,0.0794,11,Koramshahr;Abadan C.C.,Madan;Khorramshahr
93,36.0375,120.1625,0.7134,0.1641,8,Huangdao power station,
94,56.2375,90.4125,0.6692,0.1048,4,CHP of the Achinsk Alumina Combine (TPP AGK),Achinsk
95,28.4625,36.5125,0.6474,0.1354,12,TABUK-2;TABUK-1,Tabūk
96,31.7375,118.4875,0.6288,0.1401,6,WEnergy Maanshan Power Station;Maanshan - Masteel Coal;Maanshan Steel power station,Ma’anshan
97,-7.1375,112.6375,0.7546,0.3035,9,PLTGU Gresik;PLTU Gresik,
98,26.2125,44.0125,0.6288,0.1172,12,QASSIM CENTRAL,Buraydah
99,29.5625,51.6875,0.5749,0.1615,10,Kazeroon,
100,36.0125,129.3875,0.6253,0.1056,9,Pohang Works;FINEX,Pohang
101,55.3625,86.0125,0.6405,0.1039,5,NOVO-KEMEROVO CHP;KEMEROVO GRES,Kemerovo
102,59.1375,37.8375,0.0672,0.0622,5,"CHP-PVS;Thermal power station EVS-2;CHPP of JSC ""PhosAgro-Cherepovets""",Cherepovets
103,47.8875,106.8125,0.6363,0.1770,7,Ulaanbaatar-4 Thermal Power Plant;Ulaanbaatar-3 Thermal Power Plant,Ulaanbaatar
104,23.4625,58.2625,0.6043,0.2259,12,Rusail,
105,30.4625,49.1125,0.6560,0.1139,12,Fajr Petroshimi;Razi Petroshimi;Bandar Imam,Bandar-e Māhshahr
106,16.5875,80.5375,0.6616,0.2159,9,KONDAPALLI GT;VIJAYWADA;VIJAYWADA TPP-IV,Bezwāda
107,29.1125,55.3125,0.5278,0.1142,12,,
108,24.0125,38.2625,0.7143,0.2125,12,YANBU PLANT,
109,40.9375,117.6875,0.6595,0.1100,10,Luanhe power station,
110,19.0375,72.9125,0.6422,0.2516,10,TROMBAY_Coal;TROMBAY;TROMBAY GT;TROMBAY_Oil,Mumbai
111,4.1625,100.6375,0.5096,0.2438,6,Manjung power station,
112,-26.7875,151.9125,0.7313,0.1913,11,Tarong;Tarong North,
113,26.2625,74.1875,0.7126,0.1817,12,,
114,-26.0375,29.6125,0.5041,0.1133,6,Hendrina power station,
115,35.9875,43.7625,0.6828,0.1388,11,Erbil,
116,34.0875,131.7875,0.5525,0.1525,5,Nanyo Complex power station,Shūnan
117,52.4875,103.9125,0.6985,0.1425,6,Thermal Power Station 10;Thermal Power Station 9;Irkutsk TPP-1,Angarsk
118,53.8875,87.2375,0.5666,0.1478,4,West Siberian CHP;Zapadno-Sibirskaya power station,
119,16.3375,77.3375,0.5751,0.1879,10,RAICHUR;YERMARUS TPP,
120,29.5375,48.1625,0.6295,0.1135,9,Sabiya,
121,21.1125,106.3125,0.7920,0.2550,3,Pha Lai 2;Pha Lai 1,
122,23.2875,81.0625,0.5441,0.1634,9,SANJAY GANDHI,
123,36.7375,36.2125,0.5042,0.1469,4,İskenderun Atlas Termik Santrali,
124,34.5125,133.7375,0.5742,0.1659,7,Tamashima;Mizushima Energy Center,Kurashiki
125,21.5875,82.0375,0.7603,0.2463,9,,
126,17.6125,80.7125,0.6805,0.2415,8,K_GUDEM NEW;K_GUDEM,
127,9.0625,7.4875,0.4932,0.2689,6,,Abuja
128,47.4125,40.2125,0.6053,0.0703,9,Novocherkasskaya GRES,Novocherkassk
129,-38.2625,146.5875,0.5752,0.1396,7,Loy Yang A;Loy Yang B;Valley (Peaking Facility);Jeeralang B;Jeeralang A,
130,21.1875,81.4125,0.6329,0.1994,8,BHILAI TPP,Bhilai;Drug
131,27.1875,31.0125,0.5229,0.0906,12,Walidia,
132,23.0625,72.5875,0.6415,0.1571,9,TORR POWER SAB.,Ahmedabad
133,-3.9375,122.4125,0.4099,0.2047,3,,
134,10.4375,-61.4875,0.3572,0.1422,0,Point Lisas,
135,57.4625,41.1625,0.6408,0.0999,5,Krostromskaya,
136,12.8625,44.9875,0.6020,0.2346,12,Al Mansoura;Al Hiswa,Aden;Ash Shaykh ‘Uthmān
137,17.7125,83.2375,0.5820,0.1685,10,,Vishākhapatnam
138,38.7125,110.1625,0.5449,0.2443,12,Shenhua Guohua Jinjie power station;Shaanxi Beiyuan power station,
139,17.5875,44.3375,0.4671,0.1267,12,NAJRAN,
140,51.2625,19.3125,0.5702,0.0955,6,Bełchatów,
141,24.6375,77.0375,0.5659,0.1674,9,CHHABRA TPS,
142,36.7625,43.2375,0.4861,0.1293,7,,
143,8.7375,78.1625,0.6088,0.1792,9,TUTICORIN;TUTICORIN JV;TUTICORIN- IND BARATH,Tuticorin
144,45.4625,119.5625,0.4821,0.0971,8,Huolinhe Zhanute power station;Hongjun Aluminum power station;CPI Huolinhe power station;Chuangyuan Smelter power station,Mositai
145,36.9875,126.7125,0.5894,0.1101,7,Bugok;Pyeongtaek;Pyeongtaek;Hwasung KDHC;Asan Baebang CHP;Bugok Biomass,
146,37.3625,58.0625,0.3991,0.1954,7,Shirvan,
147,25.1625,75.8125,0.5751,0.1496,9,KOTA;KOTA COMPLEX,Kota
148,28.4875,-100.7125,0.5710,0.1123,12,Carbón II;José López Portillo (Río Escondido);Altos Hornos de México,
149,36.1125,117.8125,0.6603,0.1180,9,Huaneng Laiwu power station,
150,28.7125,48.3625,0.4399,0.0761,8,Az Zour South CCGT;Az Zour North,
151,40.3125,122.1125,0.5185,0.0852,10,Huaneng Yingkou power station,
152,51.1625,71.4625,0.5526,0.0767,8,Astana-2 power station,Nur-Sultan
153,24.2375,90.4125,0.3526,0.1296,3,,
154,25.9375,51.5375,0.4235,0.0926,6,Ras Laffan C (Ras Qartas) CCGT Power Plant Qatar;Ras Laffan B CCGT Power Plant Qatar;Ras Laffan A Cogen GT Power Plant Qatar,
155,22.1125,83.4625,0.4608,0.1497,7,TAMNAR TPP,
156,31.4125,76.8625,0.5442,0.2064,7,,
157,31.9625,11.1625,0.4639,0.0837,12,Western Mountain Station- Ruwais,
158,53.5375,49.4625,0.4947,0.0710,6,CHP Volga Car;Togliatti,Tolyatti
159,31.6875,74.0875,0.4490,0.1209,7,Atlas Power Sheikhupura,Shekhupura
160,55.6125,51.9375,0.4978,0.0824,5,Nizhnekamsk cogeneration station-1;Nizhnekamsk cogeneration station-2,Nizhnekamsk
161,21.6625,108.4125,0.4678,0.1234,4,Fangchenggang Coal,Fangchenggang
162,43.8875,126.5125,0.5289,0.0864,5,Songhuajiang power station;Guodian Jiangnan power station;Jilin - Guodian Coal,Jilin
163,35.4125,47.0375,0.3549,0.0767,6,Sanandaj,Sanandaj
164,32.0125,44.9375,0.6813,0.0965,12,,Ad Dīwānīyah
165,24.4375,82.9875,0.5124,0.1351,8,OBRA-A,
166,51.2625,37.7625,0.4833,0.1037,6,,Staryy Oskol
167,48.8625,37.7625,0.7290,0.1084,8,Slavyansk power station,Sloviansk
168,53.5125,9.9375,0.5464,0.0791,5,Hamburg-Moorburg;Tiefstack power station;GuD Tiefstack,Hamburg
169,35.2375,128.6125,0.5613,0.0924,8,,Changwon;Masan
170,-6.8375,39.2375,0.4748,0.1497,10,Ubungo Gas (Songas),Dar es Salaam
171,23.8125,86.7625,0.4710,0.1388,7,MAITHON RB TPP,
172,35.8875,128.5375,0.5483,0.1097,4,,Daegu
173,42.6875,21.0625,0.4859,0.0981,8,Kosovo A Coal Power Plant Kosovo;Kosovo B Coal Power Plant Kosovo;TE KOSOVO B;TE KOSOVO A,
174,21.9125,83.1875,0.5168,0.1674,8,UCHPINDA TPP;BARADARHA TPP;RAIGARH TPP;BINJKOTE;NAWAPARA,
175,18.5375,-69.3375,0.8110,0.2105,9,Quisqueya 2,San Pedro de Macorís
176,-28.4375,-49.0125,0.5028,0.1693,9,Jorge Lacerda IV;Jorge Lacerda III;Jorge Lacerda I e II,
177,39.7625,111.2375,0.5259,0.2155,10,Zhungeer power station;Shenhua Zhunneng power station;Jingtai Zhungeer Suancigou power station;Zhunda power station,
178,30.2125,56.7875,0.4313,0.1033,11,Kerman,
179,28.2125,115.4375,0.5313,0.1244,5,,
180,11.5375,104.9125,0.5610,0.1990,8,,Phnom Penh
181,-1.2875,36.8625,0.4686,0.2196,5,Iberafrica I & II (Nairobi south diesel PP),Nairobi
182,35.9125,140.6625,0.5836,0.1134,10,Kashima;Kashima Kyodo;Kashima Kita;Sumitomo Metals Kashima power station,
183,27.7625,111.9375,0.4612,0.1266,3,Hunan Lianyuan power station,Loudi
184,21.4375,81.8625,0.4124,0.1331,7,RAIKHEDA,
185,24.1875,-110.2875,0.4576,0.1310,11,Punta Prieta II,La Paz
186,44.6625,20.1625,0.4641,0.0855,7,TENT A;TENT B,
187,57.3125,-111.5625,0.4873,0.0982,4,Muskeg River;Aurora;Horizon (CNRL),
188,23.7125,86.1125,0.4089,0.1193,9,CHANDRAPURA;BOKARO A ''EXP'',
189,24.7875,67.3625,0.4306,0.1108,10,Port Qasim EPC power station;Bin Qasim;Fauji Fertilizer Power Plant,
190,56.2625,43.8875,0.4311,0.0720,5,Sormovo cogeneration station,Nizhniy Novgorod
191,51.4625,-0.4125,0.7546,0.1134,5,Taylor's Lane GT,Slough
192,34.3625,47.3625,0.4571,0.1211,6,Zagros;Bistoon,
193,53.3625,-114.3125,0.5012,0.0898,4,Genesee;Keephills,
194,44.4625,86.0875,0.4420,0.1122,7,XPCC Shihezi Cogen power station;Tianye power station;Tianfu North power station;Hesheng Shanshan power station;Shihezi Tianhe power station;Tianfu West power station,
195,-4.0375,39.6125,0.5209,0.1615,12,Kipevu III,Mombasa
196,27.7875,114.9125,0.4672,0.1259,3,Datang Xinyu power station,Xinyu
197,57.1125,65.5875,0.3796,0.0643,5,Tyumen CHP-1,Tyumen
198,27.4625,41.7375,0.3949,0.0912,12,HAIL2,Ḩā’il
199,47.8625,33.3875,0.4503,0.0663,8,,Kryvyi Rih
200,30.8375,117.7875,0.5780,0.1464,6,Tongling Wanneng power station,Wusong
201,-6.4375,110.7375,0.4843,0.1779,7,PLTU Tanjung Jati B - expansion;PLTU Tanjung Jati B,
202,40.7625,122.7875,0.5268,0.1646,7,,Haicheng
203,40.2125,69.0875,0.3909,0.0968,9,Syrdarya,
204,31.9125,118.6125,0.4371,0.0934,5,Nanre Coal;Nanjing Meishan power station,
205,32.0125,44.3625,0.4847,0.0822,12,Al-Najaf,An Najaf;Al Kūfah
206,-20.1375,57.4625,0.5254,0.1568,10,Fort William Ceb;Fort George,Port Louis
207,19.0625,73.1375,0.4388,0.1627,7,,
208,57.9125,56.1375,0.0000,,4,Permskaya CHPP-9;Perm HPP-13,Perm
209,34.7375,134.8125,0.3950,0.0904,8,Himeji Daini;Himeji Daiichi;Takasago power station,Himeji;Kakogawachō-honmachi
210,29.9375,-90.1375,0.4395,0.1126,11,Nine Mile Point,Metairie
211,23.8375,87.4625,0.3836,0.1198,8,BAKRESWAR,
212,0.3125,32.5875,0.3578,0.2130,5,,Kampala
213,10.9125,-74.7625,0.4312,0.2254,9,Termobarranquilla;Termoflores,Barranquilla;Soledad
214,21.1625,72.6875,0.4581,0.1475,10,KAWAS GT;ESSAR GT IMP.;HAZIRA-GSECL,Sūrat
215,45.0375,39.0625,0.4131,0.0627,10,Krasnodar TPP,Krasnodar
216,-33.3625,150.0625,0.2907,0.0826,2,Mt Piper;Wallerawang C,
217,24.9375,74.6625,0.4425,0.1453,8,CHANDERIA SMELTER,Chittaurgarh
218,36.2125,117.6375,0.4557,0.0872,9,Huaneng Laiwu power station;Laicheng power station,Laiwu
219,33.0875,-8.6375,0.3864,0.0946,12,Centrale Thermique de Jorf Lasfar (JLEC),
220,39.2875,-76.6625,0.4354,0.0709,11,Westport,Baltimore
221,29.0125,31.2125,0.5097,0.0895,12,,Banī Suwayf
222,14.6875,78.4625,0.4754,0.1501,7,RAYAL SEEMA,Proddatūr
223,29.4375,76.8625,0.3746,0.0748,9,PANIPAT,Pānīpat
224,-6.8625,111.9125,0.4444,0.1689,8,Tanjung Awar-Awar power station,
225,16.5125,75.8375,0.3630,0.1231,5,KUDGI,
226,12.6375,-7.9875,0.3870,0.1229,11,,Bamako
227,37.3375,45.2625,0.3104,0.1069,7,Orumia,
228,37.3125,37.1625,0.3519,0.0858,9,,
229,42.3625,-71.1125,0.4341,0.0659,8,Mystic Generating Station;Kendall Square Station;Medical Area Total Energy Plant,Boston;Cambridge
230,34.4625,133.4375,0.3639,0.1006,4,,Fukuyama
231,35.1125,50.3875,0.3171,0.0925,9,,Sāveh
232,33.7875,130.9875,0.4445,0.0946,6,,Kitakyūshū
233,14.6875,-17.4125,0.3354,0.1064,11,,Pikine;Dakar
234,32.6875,-16.9125,0.3304,0.0980,4,,Funchal
235,24.3625,85.5875,0.4028,0.1050,8,KODERMA,
236,21.3625,81.6625,0.3984,0.1292,8,,Raipur
237,30.2125,-93.2875,0.4279,0.0972,10,R S Nelson;RS Cogen;Calcasieu;PPG Powerhouse C,Lake Charles
238,38.9625,118.4875,0.3875,0.0880,9,Caofeidian Works power station;China Resources Caofeidian power station,
239,22.8625,73.3625,0.3037,0.0785,8,WANAKBORI,
240,25.9125,81.3375,0.4201,0.1037,10,UNCHAHAR,
241,19.6875,101.2875,0.3596,0.1280,4,Hongsa,
242,14.6125,-90.5125,0.3953,0.3209,3,,Guatemala City;Villa Nueva
243,53.3375,83.6625,0.3990,0.0707,6,Barnaulskaya CHP Plant-3,Barnaul
244,11.7875,77.8375,0.4543,0.1679,5,METTUR;METTUR TPS EXT,
245,32.8375,44.2875,0.3014,0.0668,9,Al-Mussaib;Al-Mansurya,
246,51.6625,39.1875,0.3707,0.0652,6,Voronezhskaya CHPP-2,Voronezh
247,41.4875,31.9125,0.3850,0.0766,10,Zonguldak Eren (ZETES);Çatalağzı-B power station,
248,-3.0875,-59.9625,0.3158,0.1453,3,Aparecida Parte I;Electron (TG),Manaus
249,26.8625,-101.4375,0.4047,0.1307,12,,Monclova
250,45.8125,130.8625,0.3815,0.0553,6,,Taihecun
251,39.1625,27.6625,0.4048,0.0626,10,Soma power station,
252,17.0125,53.9875,0.3882,0.1248,9,,Şalālah
253,31.5125,118.3875,0.2778,0.0664,4,Wuhu Zhongdian power station;Datang Maanshan Dangtu power station,
254,37.7125,121.0375,0.4081,0.0818,8,,
255,17.6625,42.1125,0.2621,0.0965,11,SHUQAIQ IWPP;SHUAIBA (SWCC),
256,36.3625,43.1375,0.2926,0.0628,9,,Mosul
257,53.7875,87.5625,0.3282,0.1060,4,,
258,36.1375,114.2625,0.3786,0.1135,6,Datang Anyang-2 power station,Dengtalu
259,54.4375,86.4375,0.4126,0.0823,4,,
260,35.6125,44.8875,0.3556,0.0757,11,,
261,-2.6125,-44.3625,0.4203,0.1232,3,Porto do Itaqui (Antiga Termomaranhão),São Luís
262,16.9375,42.6375,0.2944,0.1090,11,JAZAN,Jāzān
263,35.1875,126.8875,0.3903,0.1026,8,Suwan Energy,Gwangju
264,21.0625,75.8375,0.3699,0.0993,9,BHUSAWAL,Bhusāval
265,38.7625,26.9625,0.3104,0.0571,10,Enka İzmir Doğalgaz Santrali;İzdemir Enerji power station,
266,31.1375,73.9125,0.2608,0.0750,6,Nishat Chunian Limited;Nishat Power Limited,
267,40.5125,-112.1875,0.3772,0.0903,6,,
268,24.3625,88.1125,0.2580,0.0760,8,SAGARDIGHI TPP,
269,31.5125,48.8875,0.4169,0.0896,12,Ahwaz (ramiin),
270,49.5125,8.4375,0.2981,0.0646,4,GKM (Mannheim) power station;Kraftwerk Mitte;Kraftwerk Süd,Mannheim;Ludwigshafen
271,24.2125,120.5125,0.2665,0.1280,6,Taizhong Taichung;Taichung;Changhua power station,
272,21.9625,82.4125,0.3245,0.1135,4,AKALTARA TPP,
273,-34.4375,150.8375,0.3529,0.0697,7,Tallawarra,Wollongong
274,22.1125,78.1875,0.4058,0.1315,9,SATPURA,
275,13.0875,100.9375,0.3301,0.1208,6,Sriracha;Laem Chabang;Saha Patana,
276,47.8625,35.1625,0.4076,0.0639,8,,Zaporizhzhia
277,34.7875,48.4875,0.3300,0.0738,7,,Bahār;Hamadān
