# Catalog of NOx point sources v2.0
# 
# Contact: steffen.beirle@mpic.de
# 
# Covered time range: May 2018 to Nov 2021 
# Used datasets:
# - TROPOMI NO2 measurements: https://data-portal.s5p-pal.com/products/no2.html
# - ERA5 wind fields: https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/era5
# - Global power plant database (GPPD): https://datasets.wri.org/dataset/globalpowerplantdatabase
# - World cities database (WCD): https://simplemaps.com/data/world-cities
# 
# Version 2 of the catalog provides a fundamental update compared to version 1.
# Several improvements have been implemented resulting in generally higher and
# more realistic emissions.
# A detailed description of the dataset is to be submitted to ESSD.
# 
# Data:
# Column 1: Rank of NOx point source
# Column 2: Latitude [degree North] of point source
# Column 3: Longitude [degree East] of point source
# Column 4: NOx emissions [kg/s]
# Column 5: NOx emissions error [kg/s]
# Column 6: Number of months (within the considered time range)
#           where significant emissions could be detected.
# Column 7: Combustion power plants above 100 MW within 15 km
#           as listed in GPPD, separated by semicolon.
#           Spelling exactly as in GPPD.
#           No entry if no match to GPPD was found.
#           Primarily based on GPPD v1.3, 
#           but extended by entries from v1.2 if missing in 1.3
#           (labelled as "v1.2")
# Column 8: Cities with more than 100,000 inhabitants within 15 km
#           as listed in WCD, separated by semicolon.
#           Spelling exactly as in WCD.
#           No entry if no match to WCD was found.
rank,lat,lon,E,err,months_significant,power_plants,cities
73,-5.8875,106.0375,0.7105,0.3005,29,PLTU Suralaya;PLTGU Cilegon;Banten Serang power station;PLTGU Krakatau Daya Listrik (KDL);PLTG Krakatau Posco Energy;Merak power station,Cilegon
74,22.7875,86.2125,0.7080,0.2053,29,JOJBERA,Jamshedpur
75,-25.9375,29.7875,0.7063,0.1334,31,Arnot power station,
76,5.2875,-4.0125,0.6968,0.2965,33,Azito OCGT Power Plant Ivory Coast;Vridi CIPREL OCGT Power Plant Cote DIvoire,Abidjan
77,21.4125,79.9625,0.6853,0.1966,31,TIRORA TPP,
78,61.2875,73.4875,0.6799,0.0662,16,Surgutskaya GRES-2,Surgut
79,51.2875,4.3125,0.6641,0.0772,28,INESCO WKK,Antwerp
80,52.5625,39.6375,0.6624,0.0851,24,Lipetsk CHPP-2;NLMK cogeneration plant;UTETS NLMK,Lipetsk
81,32.6875,44.0625,0.6598,0.1128,42,,Karbalā’
82,55.0625,73.2375,0.6543,0.0555,25,Omskaya TPP-4,Omsk
83,25.2375,87.2625,0.6533,0.1608,33,KAHALGAON,
84,27.1625,56.0625,0.6519,0.1849,41,Bandar Abbas,
85,57.0625,-111.6875,0.6515,0.1102,19,Poplar Creek;MacKay River,
86,-23.5125,150.3125,0.6502,0.1359,34,Stanwell,
87,32.6125,14.3375,0.6480,0.1552,43,Al Khums,Al Khums
88,50.0375,73.0375,0.6465,0.1175,30,Karaganda TPS-2 power station,Temirtaū
89,32.4375,44.2875,0.6442,0.0974,43,,Al Ḩillah
90,47.8125,37.9875,0.6430,0.0778,30,Starobeshivska,
91,29.3875,52.5875,0.6423,0.1851,40,Fars;Hormozgan (Khalije Fars),
92,30.4625,48.2625,0.6411,0.0859,42,Koramshahr;Abadan C.C.,Madan;Khorramshahr
93,36.0375,120.1625,0.6408,0.1153,34,Huangdao power station,
94,56.2375,90.4125,0.6407,0.0802,18,CHP of the Achinsk Alumina Combine (TPP AGK),Achinsk
95,28.4625,36.5125,0.6400,0.1273,43,TABUK-2;TABUK-1,Tabūk
96,31.7375,118.4875,0.6387,0.1135,29,WEnergy Maanshan Power Station;Maanshan - Masteel Coal;Maanshan Steel power station,Ma’anshan
97,-7.1375,112.6375,0.6383,0.2457,29,PLTGU Gresik;PLTU Gresik,
98,26.2125,44.0125,0.6372,0.1064,43,QASSIM CENTRAL,Buraydah
99,29.5625,51.6875,0.6321,0.1613,37,Kazeroon,
100,36.0125,129.3875,0.6305,0.0836,34,Pohang Works;FINEX,Pohang
101,55.3625,86.0125,0.6299,0.0782,21,NOVO-KEMEROVO CHP;KEMEROVO GRES,Kemerovo
102,59.1375,37.8375,0.6292,0.0974,17,"CHP-PVS;Thermal power station EVS-2;CHPP of JSC ""PhosAgro-Cherepovets""",Cherepovets
103,47.8875,106.8125,0.6282,0.1497,26,Ulaanbaatar-4 Thermal Power Plant;Ulaanbaatar-3 Thermal Power Plant,Ulaanbaatar
104,23.4625,58.2625,0.6274,0.2296,41,Rusail,
105,30.4625,49.1125,0.6242,0.1042,43,Fajr Petroshimi;Razi Petroshimi;Bandar Imam,Bandar-e Māhshahr
106,16.5875,80.5375,0.6211,0.1870,29,KONDAPALLI GT;VIJAYWADA;VIJAYWADA TPP-IV,Bezwāda
107,29.1125,55.3125,0.6211,0.1271,43,,
108,24.0125,38.2625,0.6170,0.1983,42,YANBU PLANT,
109,40.9375,117.6875,0.6168,0.0897,30,Luanhe power station,
110,19.0375,72.9125,0.6165,0.2105,31,TROMBAY_Coal;TROMBAY;TROMBAY GT;TROMBAY_Oil,Mumbai
111,4.1625,100.6375,0.6150,0.2799,24,Manjung power station,
112,-26.7875,151.9125,0.6120,0.1384,37,Tarong;Tarong North,
113,26.2625,74.1875,0.6112,0.1447,41,,
114,-26.0375,29.6125,0.6085,0.1103,26,Hendrina power station,
115,35.9875,43.7625,0.6081,0.1133,39,Erbil,
116,34.0875,131.7875,0.6034,0.1404,24,Nanyo Complex power station,Shūnan
117,52.4875,103.9125,0.6015,0.1075,22,Thermal Power Station 10;Thermal Power Station 9;Irkutsk TPP-1,Angarsk
118,53.8875,87.2375,0.6011,0.1183,19,West Siberian CHP;Zapadno-Sibirskaya power station,
119,16.3375,77.3375,0.6002,0.1823,30,RAICHUR;YERMARUS TPP,
120,29.5375,48.1625,0.5959,0.1056,37,Sabiya,
121,21.1125,106.3125,0.5851,0.1473,13,Pha Lai 2;Pha Lai 1,
122,23.2875,81.0625,0.5829,0.1718,31,SANJAY GANDHI,
123,36.7375,36.2125,0.5717,0.1641,23,İskenderun Atlas Termik Santrali,
124,34.5125,133.7375,0.5712,0.1104,25,Tamashima;Mizushima Energy Center,Kurashiki
125,21.5875,82.0375,0.5679,0.1569,26,,
126,17.6125,80.7125,0.5653,0.1877,27,K_GUDEM NEW;K_GUDEM,
127,9.0625,7.4875,0.5642,0.2782,16,,Abuja
128,47.4125,40.2125,0.5635,0.0562,30,Novocherkasskaya GRES,Novocherkassk
129,-38.2625,146.5875,0.5629,0.1282,23,Loy Yang A;Loy Yang B;Valley (Peaking Facility);Jeeralang B;Jeeralang A,
130,21.1875,81.4125,0.5547,0.1519,29,BHILAI TPP,Bhilai;Drug
131,27.1875,31.0125,0.5545,0.0940,43,Walidia,
132,23.0625,72.5875,0.5519,0.1272,32,TORR POWER SAB.,Ahmedabad
133,-3.9375,122.4125,0.5506,0.2395,9,,
134,10.4375,-61.4875,0.5492,0.1702,8,Point Lisas,
135,57.4625,41.1625,0.5436,0.0608,20,Krostromskaya,
136,12.8625,44.9875,0.5430,0.2095,42,Al Mansoura;Al Hiswa,Aden;Ash Shaykh ‘Uthmān
137,17.7125,83.2375,0.5399,0.1402,33,,Vishākhapatnam
138,38.7125,110.1625,0.5394,0.2331,38,Shenhua Guohua Jinjie power station;Shaanxi Beiyuan power station,
139,17.5875,44.3375,0.5359,0.1396,43,NAJRAN,
140,51.2625,19.3125,0.5311,0.0756,19,Bełchatów,
141,24.6375,77.0375,0.5307,0.1444,33,CHHABRA TPS,
142,36.7625,43.2375,0.5302,0.1299,31,,
143,8.7375,78.1625,0.5267,0.1534,27,TUTICORIN;TUTICORIN JV;TUTICORIN- IND BARATH,Tuticorin
144,45.4625,119.5625,0.5255,0.0847,30,Huolinhe Zhanute power station;Hongjun Aluminum power station;CPI Huolinhe power station;Chuangyuan Smelter power station,Mositai
145,36.9875,126.7125,0.5182,0.0771,22,Bugok;Pyeongtaek;Pyeongtaek;Hwasung KDHC;Asan Baebang CHP;Bugok Biomass,
146,37.3625,58.0625,0.5156,0.2525,24,Shirvan,
147,25.1625,75.8125,0.5124,0.1263,35,KOTA;KOTA COMPLEX,Kota
148,28.4875,-100.7125,0.5109,0.0894,42,Carbón II;José López Portillo (Río Escondido);Altos Hornos de México,
149,36.1125,117.8125,0.5088,0.0882,32,Huaneng Laiwu power station,
150,28.7125,48.3625,0.5083,0.0731,37,Az Zour South CCGT;Az Zour North,
151,40.3125,122.1125,0.5080,0.0701,37,Huaneng Yingkou power station,
152,51.1625,71.4625,0.5060,0.0677,29,Astana-2 power station,Nur-Sultan
153,24.2375,90.4125,0.5043,0.1514,14,,
154,25.9375,51.5375,0.5035,0.1019,30,Ras Laffan C (Ras Qartas) CCGT Power Plant Qatar;Ras Laffan B CCGT Power Plant Qatar;Ras Laffan A Cogen GT Power Plant Qatar,
155,22.1125,83.4625,0.5025,0.1485,23,TAMNAR TPP,
156,31.4125,76.8625,0.5018,0.1861,24,,
157,31.9625,11.1625,0.5016,0.0825,43,Western Mountain Station- Ruwais,
158,53.5375,49.4625,0.5014,0.0526,26,CHP Volga Car;Togliatti,Tolyatti
159,31.6875,74.0875,0.5010,0.1197,33,Atlas Power Sheikhupura,Shekhupura
160,55.6125,51.9375,0.5000,0.0532,23,Nizhnekamsk cogeneration station-1;Nizhnekamsk cogeneration station-2,Nizhnekamsk
161,21.6625,108.4125,0.5000,0.0999,21,Fangchenggang Coal,Fangchenggang
162,43.8875,126.5125,0.4972,0.0792,18,Songhuajiang power station;Guodian Jiangnan power station;Jilin - Guodian Coal,Jilin
163,35.4125,47.0375,0.4933,0.0873,27,Sanandaj,Sanandaj
164,32.0125,44.9375,0.4906,0.0644,42,,Ad Dīwānīyah
165,24.4375,82.9875,0.4890,0.1256,27,OBRA-A,
166,51.2625,37.7625,0.4887,0.0763,26,,Staryy Oskol
167,48.8625,37.7625,0.4885,0.0646,22,Slavyansk power station,Sloviansk
168,53.5125,9.9375,0.4866,0.0524,21,Hamburg-Moorburg;Tiefstack power station;GuD Tiefstack,Hamburg
169,35.2375,128.6125,0.4861,0.0673,26,,Changwon;Masan
170,-6.8375,39.2375,0.4833,0.1385,35,Ubungo Gas (Songas),Dar es Salaam
171,23.8125,86.7625,0.4829,0.1340,28,MAITHON RB TPP,
172,35.8875,128.5375,0.4818,0.0793,20,,Daegu
173,42.6875,21.0625,0.4763,0.0858,30,Kosovo A Coal Power Plant Kosovo;Kosovo B Coal Power Plant Kosovo;TE KOSOVO B;TE KOSOVO A,
174,21.9125,83.1875,0.4761,0.1417,26,UCHPINDA TPP;BARADARHA TPP;RAIGARH TPP;BINJKOTE;NAWAPARA,
175,18.5375,-69.3375,0.4722,0.1099,26,Quisqueya 2,San Pedro de Macorís
176,-28.4375,-49.0125,0.4708,0.1153,33,Jorge Lacerda IV;Jorge Lacerda III;Jorge Lacerda I e II,
177,39.7625,111.2375,0.4666,0.1993,35,Zhungeer power station;Shenhua Zhunneng power station;Jingtai Zhungeer Suancigou power station;Zhunda power station,
178,30.2125,56.7875,0.4657,0.1028,42,Kerman,
179,28.2125,115.4375,0.4622,0.1022,19,,
180,11.5375,104.9125,0.4605,0.1565,20,,Phnom Penh
181,-1.2875,36.8625,0.4595,0.2224,15,Iberafrica I & II (Nairobi south diesel PP),Nairobi
182,35.9125,140.6625,0.4582,0.0796,30,Kashima;Kashima Kyodo;Kashima Kita;Sumitomo Metals Kashima power station,
183,27.7625,111.9375,0.4578,0.1046,16,Hunan Lianyuan power station,Loudi
184,21.4375,81.8625,0.4555,0.1290,21,RAIKHEDA,
185,24.1875,-110.2875,0.4550,0.1202,37,Punta Prieta II,La Paz
186,44.6625,20.1625,0.4542,0.0677,31,TENT A;TENT B,
187,57.3125,-111.5625,0.4521,0.0817,16,Muskeg River;Aurora;Horizon (CNRL),
188,23.7125,86.1125,0.4513,0.1201,31,CHANDRAPURA;BOKARO A ''EXP'',
189,24.7875,67.3625,0.4512,0.1064,39,Port Qasim EPC power station;Bin Qasim;Fauji Fertilizer Power Plant,
190,56.2625,43.8875,0.4463,0.0534,23,Sormovo cogeneration station,Nizhniy Novgorod
191,51.4625,-0.4125,0.4444,0.0455,17,Taylor's Lane GT,Slough
192,34.3625,47.3625,0.4420,0.0965,27,Zagros;Bistoon,
193,53.3625,-114.3125,0.4419,0.0435,20,Genesee;Keephills,
194,44.4625,86.0875,0.4416,0.1032,27,XPCC Shihezi Cogen power station;Tianye power station;Tianfu North power station;Hesheng Shanshan power station;Shihezi Tianhe power station;Tianfu West power station,
195,-4.0375,39.6125,0.4381,0.1239,36,Kipevu III,Mombasa
196,27.7875,114.9125,0.4381,0.0973,16,Datang Xinyu power station,Xinyu
197,57.1125,65.5875,0.4372,0.0500,18,Tyumen CHP-1,Tyumen
198,27.4625,41.7375,0.4341,0.0936,43,HAIL2,Ḩā’il
199,47.8625,33.3875,0.4309,0.0555,30,,Kryvyi Rih
200,30.8375,117.7875,0.4306,0.0986,20,Tongling Wanneng power station,Wusong
201,-6.4375,110.7375,0.4273,0.1573,21,PLTU Tanjung Jati B - expansion;PLTU Tanjung Jati B,
202,40.7625,122.7875,0.4268,0.1314,21,,Haicheng
203,40.2125,69.0875,0.4265,0.0964,29,Syrdarya,
204,31.9125,118.6125,0.4262,0.0721,22,Nanre Coal;Nanjing Meishan power station,
205,32.0125,44.3625,0.4260,0.0741,39,Al-Najaf,An Najaf;Al Kūfah
206,-20.1375,57.4625,0.4228,0.1435,25,Fort William Ceb;Fort George,Port Louis
207,19.0625,73.1375,0.4217,0.1475,23,,
208,57.9125,56.1375,0.4180,0.0658,19,Permskaya CHPP-9;Perm HPP-13,Perm
209,34.7375,134.8125,0.4178,0.0825,25,Himeji Daini;Himeji Daiichi;Takasago power station,Himeji;Kakogawachō-honmachi
210,29.9375,-90.1375,0.4168,0.1007,36,Nine Mile Point,Metairie
211,23.8375,87.4625,0.4153,0.1214,26,BAKRESWAR,
212,0.3125,32.5875,0.4135,0.2754,12,,Kampala
213,10.9125,-74.7625,0.4120,0.1755,25,Termobarranquilla;Termoflores,Barranquilla;Soledad
214,21.1625,72.6875,0.4119,0.1240,35,KAWAS GT;ESSAR GT IMP.;HAZIRA-GSECL,Sūrat
215,45.0375,39.0625,0.4118,0.0491,33,Krasnodar TPP,Krasnodar
216,-33.3625,150.0625,0.4118,0.0777,19,Mt Piper;Wallerawang C,
217,24.9375,74.6625,0.4111,0.1245,32,CHANDERIA SMELTER,Chittaurgarh
218,36.2125,117.6375,0.4064,0.0727,28,Huaneng Laiwu power station;Laicheng power station,Laiwu
219,33.0875,-8.6375,0.4056,0.0952,43,Centrale Thermique de Jorf Lasfar (JLEC),
220,39.2875,-76.6625,0.4014,0.0513,34,Westport,Baltimore
221,29.0125,31.2125,0.4013,0.0695,42,,Banī Suwayf
222,14.6875,78.4625,0.4003,0.1138,24,RAYAL SEEMA,Proddatūr
223,29.4375,76.8625,0.4000,0.0734,39,PANIPAT,Pānīpat
224,-6.8625,111.9125,0.3995,0.1441,29,Tanjung Awar-Awar power station,
225,16.5125,75.8375,0.3988,0.1310,20,KUDGI,
226,12.6375,-7.9875,0.3921,0.1151,34,,Bamako
227,37.3375,45.2625,0.3913,0.0944,29,Orumia,
228,37.3125,37.1625,0.3905,0.0798,37,,
229,42.3625,-71.1125,0.3901,0.0443,29,Mystic Generating Station;Kendall Square Station;Medical Area Total Energy Plant,Boston;Cambridge
230,34.4625,133.4375,0.3898,0.0748,17,,Fukuyama
231,35.1125,50.3875,0.3888,0.1044,34,,Sāveh
232,33.7875,130.9875,0.3866,0.0691,19,,Kitakyūshū
233,14.6875,-17.4125,0.3863,0.1237,39,,Pikine;Dakar
234,32.6875,-16.9125,0.3829,0.0972,12,,Funchal
235,24.3625,85.5875,0.3823,0.0955,28,KODERMA,
236,21.3625,81.6625,0.3818,0.1063,25,,Raipur
237,30.2125,-93.2875,0.3797,0.0710,35,R S Nelson;RS Cogen;Calcasieu;PPG Powerhouse C,Lake Charles
238,38.9625,118.4875,0.3797,0.0919,33,Caofeidian Works power station;China Resources Caofeidian power station,
239,22.8625,73.3625,0.3780,0.0867,31,WANAKBORI,
240,25.9125,81.3375,0.3776,0.0881,33,UNCHAHAR,
241,19.6875,101.2875,0.3772,0.1204,11,Hongsa,
242,14.6125,-90.5125,0.3764,0.3337,11,,Guatemala City;Villa Nueva
243,53.3375,83.6625,0.3757,0.0451,23,Barnaulskaya CHP Plant-3,Barnaul
244,11.7875,77.8375,0.3742,0.1287,14,METTUR;METTUR TPS EXT,
245,32.8375,44.2875,0.3724,0.0751,33,Al-Mussaib;Al-Mansurya,
246,51.6625,39.1875,0.3722,0.0541,24,Voronezhskaya CHPP-2,Voronezh
247,41.4875,31.9125,0.3713,0.0672,35,Zonguldak Eren (ZETES);Çatalağzı-B power station,
248,-3.0875,-59.9625,0.3702,0.1601,16,Aparecida Parte I;Electron (TG),Manaus
249,26.8625,-101.4375,0.3702,0.1060,40,,Monclova
250,45.8125,130.8625,0.3679,0.0475,20,,Taihecun
251,39.1625,27.6625,0.3653,0.0496,34,Soma power station,
252,17.0125,53.9875,0.3649,0.1195,32,,Şalālah
253,31.5125,118.3875,0.3625,0.0678,23,Wuhu Zhongdian power station;Datang Maanshan Dangtu power station,
254,37.7125,121.0375,0.3623,0.0706,25,,
255,17.6625,42.1125,0.3620,0.1243,42,SHUQAIQ IWPP;SHUAIBA (SWCC),
256,36.3625,43.1375,0.3619,0.0712,32,,Mosul
257,53.7875,87.5625,0.3613,0.0824,14,,
258,36.1375,114.2625,0.3569,0.0731,24,Datang Anyang-2 power station,Dengtalu
259,54.4375,86.4375,0.3531,0.0508,16,,
260,35.6125,44.8875,0.3525,0.0694,34,,
261,-2.6125,-44.3625,0.3449,0.0954,11,Porto do Itaqui (Antiga Termomaranhão),São Luís
262,16.9375,42.6375,0.3448,0.1275,42,JAZAN,Jāzān
263,35.1875,126.8875,0.3447,0.0650,28,Suwan Energy,Gwangju
264,21.0625,75.8375,0.3439,0.0882,29,BHUSAWAL,Bhusāval
265,38.7625,26.9625,0.3435,0.0589,38,Enka İzmir Doğalgaz Santrali;İzdemir Enerji power station,
266,31.1375,73.9125,0.3433,0.0824,25,Nishat Chunian Limited;Nishat Power Limited,
267,40.5125,-112.1875,0.3418,0.0804,25,,
268,24.3625,88.1125,0.3415,0.0936,23,SAGARDIGHI TPP,
269,31.5125,48.8875,0.3391,0.0677,40,Ahwaz (ramiin),
270,49.5125,8.4375,0.3388,0.0501,18,GKM (Mannheim) power station;Kraftwerk Mitte;Kraftwerk Süd,Mannheim;Ludwigshafen
271,24.2125,120.5125,0.3383,0.1315,28,Taizhong Taichung;Taichung;Changhua power station,
272,21.9625,82.4125,0.3360,0.0997,12,AKALTARA TPP,
273,-34.4375,150.8375,0.3359,0.0515,24,Tallawarra,Wollongong
274,22.1125,78.1875,0.3357,0.0995,30,SATPURA,
275,13.0875,100.9375,0.3356,0.1193,20,Sriracha;Laem Chabang;Saha Patana,
276,47.8625,35.1625,0.3348,0.0478,28,,Zaporizhzhia
277,34.7875,48.4875,0.3346,0.0716,24,,Bahār;Hamadān
