# Catalog of NOx point sources v2.0
# 
# Contact: steffen.beirle@mpic.de
# 
# Covered time range: May 2018 to Dec 2018 
# Used datasets:
# - TROPOMI NO2 measurements: https://data-portal.s5p-pal.com/products/no2.html
# - ERA5 wind fields: https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/era5
# - Global power plant database (GPPD): https://datasets.wri.org/dataset/globalpowerplantdatabase
# - World cities database (WCD): https://simplemaps.com/data/world-cities
# 
# Version 2 of the catalog provides a fundamental update compared to version 1.
# Several improvements have been implemented resulting in generally higher and
# more realistic emissions.
# A detailed description of the dataset is to be submitted to ESSD.
# 
# Data:
# Column 1: Rank of NOx point source
# Column 2: Latitude [degree North] of point source
# Column 3: Longitude [degree East] of point source
# Column 4: NOx emissions [kg/s]
# Column 5: NOx emissions error [kg/s]
# Column 6: Number of months (within the considered time range)
#           where significant emissions could be detected.
# Column 7: Combustion power plants above 100 MW within 15 km
#           as listed in GPPD, separated by semicolon.
#           Spelling exactly as in GPPD.
#           No entry if no match to GPPD was found.
#           Primarily based on GPPD v1.3, 
#           but extended by entries from v1.2 if missing in 1.3
#           (labelled as "v1.2")
# Column 8: Cities with more than 100,000 inhabitants within 15 km
#           as listed in WCD, separated by semicolon.
#           Spelling exactly as in WCD.
#           No entry if no match to WCD was found.
rank,lat,lon,E,err,months_significant,power_plants,cities
29,-26.7875,29.3625,1.5177,0.2482,7,Tutuka power station,
30,35.5125,129.3375,1.0616,0.2443,4,Ulsan;Yeongnam,Ulsan
31,15.1875,76.6625,1.1637,0.3377,6,BELLARY TPS;TORANGALLU EXT;TORANGALLU IMP,
32,21.2625,79.1125,1.3525,0.4693,6,KORADI;K_KHEDA II,Nāgpur
33,20.0375,-99.2625,1.5060,1.1544,5,Francisco Pérez Ríos (Tula);Tula;Pemex-Refinación  Refinería Miguel Hidalgo,
34,14.6375,101.1125,0.9827,0.3086,3,Kaeng Khoi 2,
35,20.0875,105.8875,1.0428,0.3061,6,,
36,21.0875,85.0875,1.0450,0.3737,3,TALCHER STPS;DERANG,
37,24.9375,47.0625,1.0827,0.1998,8,Riyadh 9,
38,22.1375,82.2875,1.0885,0.3376,5,SIPAT STPS,
39,19.9875,79.2875,1.1969,0.4251,6,CHANDRAPUR_Coal;DHARIWAL INF TPP;TADALI,Chānda
40,41.2875,123.7125,0.9415,0.1873,7,,Benxi
41,32.7875,51.4875,0.9130,0.2470,7,Shahid M. Montazeri,Khomeynī Shahr;Shāhīn Shahr
42,36.4625,59.4125,1.0561,0.3334,5,Ferdosi C.C.;Touss,
43,18.2875,99.7625,0.8725,0.4079,2,Mae Mah,
44,22.8125,69.5375,0.9697,0.2112,6,MUNDRA TPP;MUNDRA UMPP,
45,31.9875,120.6375,1.0297,0.2053,7,Jiangsu Nantong power station;Zhangjiagang Shazhou power station;Jiangsu Zhangjiagang Huaxing;Zhangjiagang - Huaxing Gas;Tianshenggan power station;Zhangjiagang Shagang power station,Yangshe
46,39.3875,106.9375,0.8980,0.2686,7,Ordos Power Qipanjing power station;Huaneng Wuhai Haibowan power station;Ordos Resources Qipanjing power station;Shenhua Wuhai Xilaifeng power station,
47,23.4625,87.1375,0.9800,0.3042,6,MEJIA;MEJIA TPS EXT;DURGAPUR STEEL TPS;DURGAPUR,
48,12.7125,101.1625,0.8498,0.2799,2,BLCP Power;Rayong;Gheco One power station;Glow Energy power complex;Glow Energy Phase 5 Power Plant;Glow Energy Phase 2 Power Plant;CUP-1;Glow Demin;CUP-2,
49,53.4375,59.0375,0.8671,0.1444,5,CHP Plant of MMK,Magnitogorsk
50,24.3875,109.3875,1.1790,0.3709,2,Liuzhou City power station,Liuzhou
51,19.3375,105.7875,0.8397,0.2820,6,Nghi Son 1,
52,24.6875,74.6625,1.0340,0.3322,6,,
53,-24.3375,150.6375,1.0415,0.2457,7,Callide C;Callide B,
54,6.9625,79.9375,0.7657,0.2705,2,CEB Kelantitissa;Yugadanavi;Sojitz Kelanitissa;Sapugaskanda,Colombo;Sri Jayewardenepura Kotte
55,39.6125,126.2875,0.5955,0.1151,5,Pukchang power station,
56,52.1125,76.8625,0.7879,0.1128,5,Aksu power station,
57,36.2125,44.0125,0.8404,0.2267,7,,Erbil
58,40.1125,65.3375,0.8835,0.1313,7,Navoi,Navoiy
59,24.7625,87.8875,1.0174,0.3181,5,FARAKKA STPS,
60,30.5625,47.4125,0.4370,0.0685,8,,
61,55.1875,61.4125,0.7753,0.0930,4,Chelyabinsk CHP-1;Chelyabinsk GRES,Chelyabinsk
62,35.1625,119.3625,0.8840,0.2245,8,Rizhao Iron and Steel Cogen power station,
63,13.2375,80.3125,0.8601,0.2614,6,VALLUR ntpc/ntecl;NORTH CHENNAI EXTENSION;NORTH CHENNAI,
64,33.9875,49.5125,0.7781,0.2770,7,Shazand,
65,51.4875,6.7375,0.8187,0.1273,6,KW Voerde;KW Walsum;KW West;Huckingen;Duisburg Hamborn;Duisburg Ruhrort;HKW III/B;Kraftwerk N 230;G-Kraftwerk,Duisburg;Oberhausen;Mülheim;Bottrop;Moers
66,55.9875,92.9125,0.8120,0.1390,5,,Krasnoyarsk
67,11.3125,108.8125,0.8001,0.1923,6,Vinh Tan 2,
68,29.0375,48.1375,0.6920,0.1305,6,Shuiba North;Shuiba SPSS;Shuwaikh,
69,14.3375,80.1375,0.7720,0.2417,7,DAMODARAM SANJEEVAIAH;PAINAMPURAM;SEMBCORP GAYATRI;SIMHAPURI TPP;THAMMINAPATNAM TPP,
70,35.0375,136.8625,0.7762,0.1535,7,Chita;Shin Nagoya;Chita Daini;Nishi Nagoya;Nagoya power station;Nagoya Power Plant 2,Nagoya;Kariya;Tōkai
71,51.0125,6.6375,1.2058,0.2267,6,Niederaussem power station;BoA 2;Neurath power station;Frimmersdorf power station,
72,2.6125,101.7125,0.4959,0.2440,6,Jimah power station;Tuanku Jaafar (PDI);Tyanku Jaafar (PDII),
73,-5.8875,106.0375,0.6301,0.3248,4,PLTU Suralaya;PLTGU Cilegon;Banten Serang power station;PLTGU Krakatau Daya Listrik (KDL);PLTG Krakatau Posco Energy;Merak power station,Cilegon
74,22.7875,86.2125,0.7826,0.2627,5,JOJBERA,Jamshedpur
75,-25.9375,29.7875,0.6247,0.1381,6,Arnot power station,
76,5.2875,-4.0125,0.5058,0.2563,5,Azito OCGT Power Plant Ivory Coast;Vridi CIPREL OCGT Power Plant Cote DIvoire,Abidjan
77,21.4125,79.9625,0.7837,0.2645,6,TIRORA TPP,
78,61.2875,73.4875,0.7337,0.1139,4,Surgutskaya GRES-2,Surgut
79,51.2875,4.3125,0.7245,0.1112,6,INESCO WKK,Antwerp
80,52.5625,39.6375,0.6478,0.1061,6,Lipetsk CHPP-2;NLMK cogeneration plant;UTETS NLMK,Lipetsk
81,32.6875,44.0625,0.4135,0.0694,7,,Karbalā’
82,55.0625,73.2375,0.5994,0.0756,5,Omskaya TPP-4,Omsk
83,25.2375,87.2625,0.6635,0.1845,6,KAHALGAON,
84,27.1625,56.0625,0.5698,0.1788,8,Bandar Abbas,
85,57.0625,-111.6875,0.7286,0.1917,4,Poplar Creek;MacKay River,
86,-23.5125,150.3125,0.7184,0.1720,8,Stanwell,
87,32.6125,14.3375,0.6969,0.1962,8,Al Khums,Al Khums
88,50.0375,73.0375,0.5655,0.1010,6,Karaganda TPS-2 power station,Temirtaū
89,32.4375,44.2875,0.7593,0.1224,8,,Al Ḩillah
90,47.8125,37.9875,0.6732,0.0968,6,Starobeshivska,
91,29.3875,52.5875,0.5949,0.2264,6,Fars;Hormozgan (Khalije Fars),
92,30.4625,48.2625,0.6059,0.0906,8,Koramshahr;Abadan C.C.,Madan;Khorramshahr
93,36.0375,120.1625,0.6109,0.1355,8,Huangdao power station,
94,56.2375,90.4125,0.5938,0.0998,3,CHP of the Achinsk Alumina Combine (TPP AGK),Achinsk
95,28.4625,36.5125,0.6636,0.1504,8,TABUK-2;TABUK-1,Tabūk
96,31.7375,118.4875,0.7095,0.1499,7,WEnergy Maanshan Power Station;Maanshan - Masteel Coal;Maanshan Steel power station,Ma’anshan
97,-7.1375,112.6375,0.6739,0.2744,6,PLTGU Gresik;PLTU Gresik,
98,26.2125,44.0125,0.7478,0.1424,8,QASSIM CENTRAL,Buraydah
99,29.5625,51.6875,0.4020,0.1157,8,Kazeroon,
100,36.0125,129.3875,0.6827,0.1435,6,Pohang Works;FINEX,Pohang
101,55.3625,86.0125,0.5526,0.1021,4,NOVO-KEMEROVO CHP;KEMEROVO GRES,Kemerovo
102,59.1375,37.8375,0.5410,0.1114,4,"CHP-PVS;Thermal power station EVS-2;CHPP of JSC ""PhosAgro-Cherepovets""",Cherepovets
103,47.8875,106.8125,0.5931,0.1444,5,Ulaanbaatar-4 Thermal Power Plant;Ulaanbaatar-3 Thermal Power Plant,Ulaanbaatar
104,23.4625,58.2625,0.7457,0.2982,8,Rusail,
105,30.4625,49.1125,0.5938,0.1064,8,Fajr Petroshimi;Razi Petroshimi;Bandar Imam,Bandar-e Māhshahr
106,16.5875,80.5375,0.8499,0.2837,4,KONDAPALLI GT;VIJAYWADA;VIJAYWADA TPP-IV,Bezwāda
107,29.1125,55.3125,0.4536,0.1079,8,,
108,24.0125,38.2625,0.5803,0.1846,8,YANBU PLANT,
109,40.9375,117.6875,0.5457,0.1269,3,Luanhe power station,
110,19.0375,72.9125,0.8068,0.2958,5,TROMBAY_Coal;TROMBAY;TROMBAY GT;TROMBAY_Oil,Mumbai
111,4.1625,100.6375,0.7932,0.4057,4,Manjung power station,
112,-26.7875,151.9125,0.6335,0.1449,8,Tarong;Tarong North,
113,26.2625,74.1875,0.7123,0.1861,7,,
114,-26.0375,29.6125,0.8474,0.1724,8,Hendrina power station,
115,35.9875,43.7625,0.7181,0.1590,8,Erbil,
116,34.0875,131.7875,0.5615,0.1624,5,Nanyo Complex power station,Shūnan
117,52.4875,103.9125,0.6493,0.1741,5,Thermal Power Station 10;Thermal Power Station 9;Irkutsk TPP-1,Angarsk
118,53.8875,87.2375,0.5307,0.1016,5,West Siberian CHP;Zapadno-Sibirskaya power station,
119,16.3375,77.3375,0.8749,0.2871,4,RAICHUR;YERMARUS TPP,
120,29.5375,48.1625,0.7160,0.1365,7,Sabiya,
121,21.1125,106.3125,0.5121,0.1786,2,Pha Lai 2;Pha Lai 1,
122,23.2875,81.0625,0.7102,0.2335,6,SANJAY GANDHI,
123,36.7375,36.2125,0.5192,0.1863,4,İskenderun Atlas Termik Santrali,
124,34.5125,133.7375,0.5073,0.1256,2,Tamashima;Mizushima Energy Center,Kurashiki
125,21.5875,82.0375,0.5475,0.1620,4,,
126,17.6125,80.7125,0.6821,0.2329,4,K_GUDEM NEW;K_GUDEM,
127,9.0625,7.4875,0.5657,0.3260,2,,Abuja
128,47.4125,40.2125,0.6278,0.0803,6,Novocherkasskaya GRES,Novocherkassk
129,-38.2625,146.5875,0.6614,0.1480,4,Loy Yang A;Loy Yang B;Valley (Peaking Facility);Jeeralang B;Jeeralang A,
130,21.1875,81.4125,0.5891,0.1824,5,BHILAI TPP,Bhilai;Drug
131,27.1875,31.0125,0.6048,0.1070,8,Walidia,
132,23.0625,72.5875,0.5781,0.1514,6,TORR POWER SAB.,Ahmedabad
133,-3.9375,122.4125,0.1847,0.1030,1,,
134,10.4375,-61.4875,0.3700,0.1585,1,Point Lisas,
135,57.4625,41.1625,0.5476,0.0871,5,Krostromskaya,
136,12.8625,44.9875,0.4990,0.2278,7,Al Mansoura;Al Hiswa,Aden;Ash Shaykh ‘Uthmān
137,17.7125,83.2375,0.5774,0.1572,6,,Vishākhapatnam
138,38.7125,110.1625,0.4234,0.1769,6,Shenhua Guohua Jinjie power station;Shaanxi Beiyuan power station,
139,17.5875,44.3375,0.3906,0.0984,8,NAJRAN,
140,51.2625,19.3125,0.6094,0.1142,4,Bełchatów,
141,24.6375,77.0375,0.4879,0.1512,6,CHHABRA TPS,
142,36.7625,43.2375,0.5810,0.1674,6,,
143,8.7375,78.1625,0.5583,0.2162,4,TUTICORIN;TUTICORIN JV;TUTICORIN- IND BARATH,Tuticorin
144,45.4625,119.5625,0.5037,0.0999,6,Huolinhe Zhanute power station;Hongjun Aluminum power station;CPI Huolinhe power station;Chuangyuan Smelter power station,Mositai
145,36.9875,126.7125,0.4090,0.0887,4,Bugok;Pyeongtaek;Pyeongtaek;Hwasung KDHC;Asan Baebang CHP;Bugok Biomass,
146,37.3625,58.0625,0.2627,0.1302,5,Shirvan,
147,25.1625,75.8125,0.6207,0.1722,6,KOTA;KOTA COMPLEX,Kota
148,28.4875,-100.7125,0.7744,0.1438,7,Carbón II;José López Portillo (Río Escondido);Altos Hornos de México,
149,36.1125,117.8125,0.6495,0.1412,6,Huaneng Laiwu power station,
150,28.7125,48.3625,0.5762,0.0941,8,Az Zour South CCGT;Az Zour North,
151,40.3125,122.1125,0.4883,0.0871,8,Huaneng Yingkou power station,
152,51.1625,71.4625,0.4437,0.0683,6,Astana-2 power station,Nur-Sultan
153,24.2375,90.4125,0.4475,0.2113,2,,
154,25.9375,51.5375,0.5826,0.1204,7,Ras Laffan C (Ras Qartas) CCGT Power Plant Qatar;Ras Laffan B CCGT Power Plant Qatar;Ras Laffan A Cogen GT Power Plant Qatar,
155,22.1125,83.4625,0.4888,0.1578,3,TAMNAR TPP,
156,31.4125,76.8625,0.5150,0.2218,6,,
157,31.9625,11.1625,0.4769,0.0964,8,Western Mountain Station- Ruwais,
158,53.5375,49.4625,0.4837,0.0699,6,CHP Volga Car;Togliatti,Tolyatti
159,31.6875,74.0875,0.5945,0.1778,7,Atlas Power Sheikhupura,Shekhupura
160,55.6125,51.9375,0.4401,0.0577,5,Nizhnekamsk cogeneration station-1;Nizhnekamsk cogeneration station-2,Nizhnekamsk
161,21.6625,108.4125,0.3802,0.1095,2,Fangchenggang Coal,Fangchenggang
162,43.8875,126.5125,0.5105,0.1153,3,Songhuajiang power station;Guodian Jiangnan power station;Jilin - Guodian Coal,Jilin
163,35.4125,47.0375,0.4085,0.0882,5,Sanandaj,Sanandaj
164,32.0125,44.9375,0.2137,0.0300,7,,Ad Dīwānīyah
165,24.4375,82.9875,0.5066,0.1576,5,OBRA-A,
166,51.2625,37.7625,0.4606,0.0906,6,,Staryy Oskol
167,48.8625,37.7625,0.6522,0.1095,5,Slavyansk power station,Sloviansk
168,53.5125,9.9375,0.5400,0.0732,6,Hamburg-Moorburg;Tiefstack power station;GuD Tiefstack,Hamburg
169,35.2375,128.6125,0.2953,0.0714,3,,Changwon;Masan
170,-6.8375,39.2375,0.5074,0.1578,7,Ubungo Gas (Songas),Dar es Salaam
171,23.8125,86.7625,0.5584,0.1802,5,MAITHON RB TPP,
172,35.8875,128.5375,0.3254,0.0944,3,,Daegu
173,42.6875,21.0625,0.3877,0.1237,4,Kosovo A Coal Power Plant Kosovo;Kosovo B Coal Power Plant Kosovo;TE KOSOVO B;TE KOSOVO A,
174,21.9125,83.1875,0.4067,0.1278,4,UCHPINDA TPP;BARADARHA TPP;RAIGARH TPP;BINJKOTE;NAWAPARA,
175,18.5375,-69.3375,0.7517,0.1922,5,Quisqueya 2,San Pedro de Macorís
176,-28.4375,-49.0125,0.4933,0.1233,7,Jorge Lacerda IV;Jorge Lacerda III;Jorge Lacerda I e II,
177,39.7625,111.2375,0.3670,0.1805,5,Zhungeer power station;Shenhua Zhunneng power station;Jingtai Zhungeer Suancigou power station;Zhunda power station,
178,30.2125,56.7875,0.3060,0.0837,8,Kerman,
179,28.2125,115.4375,0.4599,0.1168,3,,
180,11.5375,104.9125,0.3325,0.1230,2,,Phnom Penh
181,-1.2875,36.8625,0.2562,0.1637,1,Iberafrica I & II (Nairobi south diesel PP),Nairobi
182,35.9125,140.6625,0.4664,0.0972,5,Kashima;Kashima Kyodo;Kashima Kita;Sumitomo Metals Kashima power station,
183,27.7625,111.9375,0.4750,0.1277,3,Hunan Lianyuan power station,Loudi
184,21.4375,81.8625,0.0072,0.0338,0,RAIKHEDA,
185,24.1875,-110.2875,0.4493,0.1495,6,Punta Prieta II,La Paz
186,44.6625,20.1625,0.4131,0.0802,6,TENT A;TENT B,
187,57.3125,-111.5625,0.3941,0.1046,3,Muskeg River;Aurora;Horizon (CNRL),
188,23.7125,86.1125,0.5325,0.1688,6,CHANDRAPURA;BOKARO A ''EXP'',
189,24.7875,67.3625,0.5565,0.1545,8,Port Qasim EPC power station;Bin Qasim;Fauji Fertilizer Power Plant,
190,56.2625,43.8875,0.3753,0.0598,5,Sormovo cogeneration station,Nizhniy Novgorod
191,51.4625,-0.4125,0.6726,0.0982,6,Taylor's Lane GT,Slough
192,34.3625,47.3625,0.2657,0.0696,5,Zagros;Bistoon,
193,53.3625,-114.3125,0.5259,0.0827,4,Genesee;Keephills,
194,44.4625,86.0875,0.4403,0.1171,5,XPCC Shihezi Cogen power station;Tianye power station;Tianfu North power station;Hesheng Shanshan power station;Shihezi Tianhe power station;Tianfu West power station,
195,-4.0375,39.6125,0.3920,0.1149,5,Kipevu III,Mombasa
196,27.7875,114.9125,0.3497,0.0872,3,Datang Xinyu power station,Xinyu
197,57.1125,65.5875,0.3420,0.0566,2,Tyumen CHP-1,Tyumen
198,27.4625,41.7375,0.4258,0.1071,8,HAIL2,Ḩā’il
199,47.8625,33.3875,0.3971,0.0624,6,,Kryvyi Rih
200,30.8375,117.7875,0.3364,0.0926,2,Tongling Wanneng power station,Wusong
201,-6.4375,110.7375,0.3439,0.1465,3,PLTU Tanjung Jati B - expansion;PLTU Tanjung Jati B,
202,40.7625,122.7875,0.3657,0.1098,4,,Haicheng
203,40.2125,69.0875,0.4658,0.1238,4,Syrdarya,
204,31.9125,118.6125,0.4378,0.1025,6,Nanre Coal;Nanjing Meishan power station,
205,32.0125,44.3625,0.4300,0.0951,6,Al-Najaf,An Najaf;Al Kūfah
206,-20.1375,57.4625,0.5223,0.1816,6,Fort William Ceb;Fort George,Port Louis
207,19.0625,73.1375,0.4229,0.1666,3,,
208,57.9125,56.1375,0.3312,0.0765,5,Permskaya CHPP-9;Perm HPP-13,Perm
209,34.7375,134.8125,0.3551,0.1037,5,Himeji Daini;Himeji Daiichi;Takasago power station,Himeji;Kakogawachō-honmachi
210,29.9375,-90.1375,0.3955,0.1083,5,Nine Mile Point,Metairie
211,23.8375,87.4625,0.3519,0.1233,3,BAKRESWAR,
212,0.3125,32.5875,0.3628,0.3057,2,,Kampala
213,10.9125,-74.7625,0.4035,0.1843,3,Termobarranquilla;Termoflores,Barranquilla;Soledad
214,21.1625,72.6875,0.4684,0.1415,6,KAWAS GT;ESSAR GT IMP.;HAZIRA-GSECL,Sūrat
215,45.0375,39.0625,0.3758,0.0604,6,Krasnodar TPP,Krasnodar
216,-33.3625,150.0625,0.6679,0.1462,6,Mt Piper;Wallerawang C,
217,24.9375,74.6625,0.5128,0.1658,6,CHANDERIA SMELTER,Chittaurgarh
218,36.2125,117.6375,0.4089,0.0911,5,Huaneng Laiwu power station;Laicheng power station,Laiwu
219,33.0875,-8.6375,0.3667,0.0891,8,Centrale Thermique de Jorf Lasfar (JLEC),
220,39.2875,-76.6625,0.3781,0.0726,7,Westport,Baltimore
221,29.0125,31.2125,0.6222,0.1147,8,,Banī Suwayf
222,14.6875,78.4625,0.5185,0.1552,6,RAYAL SEEMA,Proddatūr
223,29.4375,76.8625,0.4555,0.1041,8,PANIPAT,Pānīpat
224,-6.8625,111.9125,0.3914,0.1575,7,Tanjung Awar-Awar power station,
225,16.5125,75.8375,0.5091,0.1758,6,KUDGI,
226,12.6375,-7.9875,0.2722,0.1031,4,,Bamako
227,37.3375,45.2625,0.2160,0.0648,5,Orumia,
228,37.3125,37.1625,0.4175,0.0911,8,,
229,42.3625,-71.1125,0.3944,0.0773,5,Mystic Generating Station;Kendall Square Station;Medical Area Total Energy Plant,Boston;Cambridge
230,34.4625,133.4375,0.2149,0.0679,2,,Fukuyama
231,35.1125,50.3875,0.4252,0.1200,6,,Sāveh
232,33.7875,130.9875,0.2721,0.0724,2,,Kitakyūshū
233,14.6875,-17.4125,0.3556,0.1147,6,,Pikine;Dakar
234,32.6875,-16.9125,0.2566,0.0869,1,,Funchal
235,24.3625,85.5875,0.2732,0.0864,4,KODERMA,
236,21.3625,81.6625,0.3354,0.1018,3,,Raipur
237,30.2125,-93.2875,0.3650,0.0835,7,R S Nelson;RS Cogen;Calcasieu;PPG Powerhouse C,Lake Charles
238,38.9625,118.4875,0.3342,0.1201,5,Caofeidian Works power station;China Resources Caofeidian power station,
239,22.8625,73.3625,0.3928,0.1010,6,WANAKBORI,
240,25.9125,81.3375,0.3967,0.1158,7,UNCHAHAR,
241,19.6875,101.2875,0.0082,0.0297,0,Hongsa,
242,14.6125,-90.5125,0.4821,0.2542,2,,Guatemala City;Villa Nueva
243,53.3375,83.6625,0.3905,0.0597,5,Barnaulskaya CHP Plant-3,Barnaul
244,11.7875,77.8375,0.3009,0.1620,0,METTUR;METTUR TPS EXT,
245,32.8375,44.2875,0.4350,0.0912,6,Al-Mussaib;Al-Mansurya,
246,51.6625,39.1875,0.3493,0.0585,5,Voronezhskaya CHPP-2,Voronezh
247,41.4875,31.9125,0.4109,0.1016,6,Zonguldak Eren (ZETES);Çatalağzı-B power station,
248,-3.0875,-59.9625,0.5221,0.2600,6,Aparecida Parte I;Electron (TG),Manaus
249,26.8625,-101.4375,0.4356,0.1344,6,,Monclova
250,45.8125,130.8625,0.3029,0.0610,2,,Taihecun
251,39.1625,27.6625,0.4131,0.0840,7,Soma power station,
252,17.0125,53.9875,0.3525,0.1360,5,,Şalālah
253,31.5125,118.3875,0.2659,0.0603,3,Wuhu Zhongdian power station;Datang Maanshan Dangtu power station,
254,37.7125,121.0375,0.1763,0.0406,3,,
255,17.6625,42.1125,0.3269,0.1058,8,SHUQAIQ IWPP;SHUAIBA (SWCC),
256,36.3625,43.1375,0.2468,0.0619,5,,Mosul
257,53.7875,87.5625,0.3175,0.0859,1,,
258,36.1375,114.2625,0.4084,0.1062,5,Datang Anyang-2 power station,Dengtalu
259,54.4375,86.4375,0.2330,0.0492,3,,
260,35.6125,44.8875,0.3761,0.0883,7,,
261,-2.6125,-44.3625,0.2922,0.0985,3,Porto do Itaqui (Antiga Termomaranhão),São Luís
262,16.9375,42.6375,0.1979,0.0761,8,JAZAN,Jāzān
263,35.1875,126.8875,0.2889,0.0599,6,Suwan Energy,Gwangju
264,21.0625,75.8375,0.4683,0.1375,6,BHUSAWAL,Bhusāval
265,38.7625,26.9625,0.3401,0.0779,8,Enka İzmir Doğalgaz Santrali;İzdemir Enerji power station,
266,31.1375,73.9125,0.4639,0.1255,6,Nishat Chunian Limited;Nishat Power Limited,
267,40.5125,-112.1875,0.3584,0.0954,6,,
268,24.3625,88.1125,0.1643,0.0601,1,SAGARDIGHI TPP,
269,31.5125,48.8875,0.4392,0.1033,8,Ahwaz (ramiin),
270,49.5125,8.4375,0.4847,0.0994,4,GKM (Mannheim) power station;Kraftwerk Mitte;Kraftwerk Süd,Mannheim;Ludwigshafen
271,24.2125,120.5125,0.5727,0.1866,7,Taizhong Taichung;Taichung;Changhua power station,
272,21.9625,82.4125,0.3867,0.1349,2,AKALTARA TPP,
273,-34.4375,150.8375,0.4352,0.0718,6,Tallawarra,Wollongong
274,22.1125,78.1875,0.4266,0.1408,6,SATPURA,
275,13.0875,100.9375,0.3802,0.1446,4,Sriracha;Laem Chabang;Saha Patana,
276,47.8625,35.1625,0.3021,0.0527,6,,Zaporizhzhia
277,34.7875,48.4875,0.2329,0.0597,5,,Bahār;Hamadān
